address,zipcode,year_built
413 BALLARD ST,48197,1880
412 PERRIN ST,48197,1870
203 MAPLE ST,48198,1844
413 MAPLE ST,48198,1851
503-505 N ADAMS ST,48197,1890
423 W FOREST AVE,48197,1885
605 N RIVER ST,48198,1870
516 N ADAMS ST,48197,1890
616 NORRIS ST,48198,1884
720 LOWELL ST,48197,1895
13 N WASHINGTON ST,48197,1870
104 W MICHIGAN AVE,48197,1860
228 W MICHIGAN AVE,48197,1894
9160 S HURON RIVER DR,48197,1890
8 N NORMAL ST,48197,1890
482 1ST AVE,48197,1884
670-672 HARRIET ST,48197,1874
438 CHIDESTER ST,48197,1890
401 S HURON ST,48197,1873
1024 W MICHIGAN AVE,48197,1870
315 S ADAMS ST,48197,1881
413 EMMET ST,48197,1870
609 EMMET ST,48197,1894
50 S SUMMIT ST,48197,1878
114 S HAMILTON ST,48197,1880
805 N CONGRESS ST,48197,1843
1016 N CONGRESS ST,48197,1884
15 N HAMILTON ST,48197,1864
611 PEARL ST,48197,1880
517 PEARL ST,48197,1894
111 PEARL ST,48197,1890
101 N HAMILTON ST,48197,1884
508 PEARL ST,48197,1869
209 PERRIN ST,48197,1890
14 W CROSS ST,48197,1880
306 N NORMAL ST,48197,1890
33 E CROSS ST,48198,1870
407 E CROSS ST,48198,1896
216 MAPLE ST,48198,1884
521-523 N HURON ST,48197,1890
900 OAKWOOD ST,48197,1895
1266 HURON RIVER DR,48197,1860
100 W MICHIGAN AVE,48197,1860
46-54 N HURON ST,48197,1880
617 N CONGRESS ST,48197,1868
8921 STONEY CREEK RD,48197,1885
7916 WILLIS RD,48197,1873
8705 WHITTAKER RD,48197,1860
8035 WHITTAKER RD,48197,1880
9095 S HURON RIVER DR,48197,1874
13 N SUMMIT ST,48197,1894
124 BELL RD,48197,1884
416 S WASHINGTON ST,48197,1860
135 HAWKINS ST,48197,1880
723-725 W MICHIGAN AVE,48197,1863
118 S WASHINGTON ST,48197,1892
30 S GROVE ST,48198,1890
11 S GROVE ST,48198,1860
508 N CONGRESS ST,48197,1854
112 BABBITT ST,48198,1860
715 PEARL ST,48197,1884
605 PEARL ST,48197,1894
602 PEARL ST,48197,1844
106 N SUMMIT ST,48197,1869
111 N ADAMS ST,48197,1865
112 N HAMILTON ST,48197,1890
126 N ADAMS ST,48197,1820
611 WASHTENAW AVE,48197,1884
219 N RIVER ST,48198,1893
220 N GROVE ST,48198,1870
601 EMMET ST,48197,1880
620 E CROSS ST,48198,1875
17-21 E CROSS ST,48198,1859
213 E CROSS ST,48198,1871
325 E CROSS ST,48198,1893
422 N HURON ST,48197,1850
416 OLIVE ST,48197,1895
402 OAK ST,48198,1865
324 OAK ST,48198,1850
326 E FOREST AVE,48198,1899
